2018-07-22 16:50:50 - INFO - saving to ./results/cifar100
2018-07-22 16:50:50 - DEBUG - run arguments: Namespace(batch_size=32, dataset='cifar100', epochs=100, evaluate=None, gpus='0', input_size=None, lr=0.1, model='vgg_cifar10_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='cifar100', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2018-07-22 16:50:50 - INFO - creating model vgg_cifar10_binary
2018-07-22 16:50:51 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
2018-07-22 16:50:51 - INFO - number of parameters: 36626276
2018-07-22 16:53:00 - INFO - training regime: {0: {'optimizer': 'Adam', 'betas': (0.9, 0.999), 'lr': 0.005}, 40: {'lr': 0.001}, 80: {'lr': 0.0005}, 100: {'lr': 0.0001}, 120: {'lr': 5e-05}, 140: {'lr': 1e-05}}
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting method = Adam
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting lr = 0.005
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting betas = (0.9, 0.999)
2018-07-22 16:53:22 - INFO - TRAINING - Epoch: [0][330/1563]	Time 0.058 (0.067)	Data 0.000 (0.006)	Loss 4.3734 (4.7864)	Prec@1 3.125 (1.765)	Prec@5 12.500 (8.110)
2018-07-22 16:53:23 - INFO - TRAINING - Epoch: [0][340/1563]	Time 0.058 (0.066)	Data 0.000 (0.006)	Loss 4.5910 (4.7808)	Prec@1 3.125 (1.778)	Prec@5 6.250 (8.184)
2018-07-22 16:53:23 - INFO - TRAINING - Epoch: [0][350/1563]	Time 0.058 (0.066)	Data 0.000 (0.006)	Loss 4.6455 (4.7749)	Prec@1 0.000 (1.852)	Prec@5 9.375 (8.271)
2018-07-22 16:53:24 - INFO - TRAINING - Epoch: [0][360/1563]	Time 0.058 (0.066)	Data 0.000 (0.006)	Loss 4.3110 (4.7696)	Prec@1 3.125 (1.896)	Prec@5 15.625 (8.336)
2018-07-22 16:53:25 - INFO - TRAINING - Epoch: [0][370/1563]	Time 0.058 (0.066)	Data 0.000 (0.006)	Loss 4.3750 (4.7608)	Prec@1 6.250 (1.929)	Prec@5 12.500 (8.406)
2018-07-22 16:53:25 - INFO - TRAINING - Epoch: [0][380/1563]	Time 0.058 (0.066)	Data 0.000 (0.006)	Loss 4.5299 (4.7560)	Prec@1 0.000 (1.936)	Prec@5 3.125 (8.424)
2018-07-22 16:53:26 - INFO - TRAINING - Epoch: [0][390/1563]	Time 0.058 (0.065)	Data 0.000 (0.006)	Loss 4.6775 (4.7506)	Prec@1 3.125 (1.990)	Prec@5 12.500 (8.456)
2018-07-22 16:53:26 - INFO - TRAINING - Epoch: [0][400/1563]	Time 0.058 (0.065)	Data 0.000 (0.006)	Loss 4.4120 (4.7447)	Prec@1 3.125 (2.034)	Prec@5 12.500 (8.627)
2018-07-22 16:53:27 - INFO - TRAINING - Epoch: [0][410/1563]	Time 0.059 (0.065)	Data 0.000 (0.006)	Loss 4.5504 (4.7407)	Prec@1 0.000 (2.023)	Prec@5 9.375 (8.714)
2018-07-22 16:53:27 - INFO - TRAINING - Epoch: [0][420/1563]	Time 0.058 (0.065)	Data 0.000 (0.006)	Loss 4.6586 (4.7367)	Prec@1 9.375 (2.049)	Prec@5 15.625 (8.766)
